Lg,LDD_Dose,LDD_Energy,SD_Dose,SD_Energy,Vd,Vth,Id,SS,gm
0.18,1.00E+11,10,1.00E+14,10,0.05,0.802,4.545e-05,85.511,3.699e-05
0.18,1.00E+11,10,1.00E+14,10,1,1,2.956e-04,83.989,1.973e-04
0.18,1.00E+11,10,1.00E+14,15,0.05,0.779,4.623e-05,85.322,3.782e-05
0.18,1.00E+11,10,1.00E+14,15,1,0.965,3.077e-04,84.195,2.007e-04
0.18,1.00E+11,10,1.00E+14,20,0.05,0.758,4.656e-05,85.486,3.825e-05
0.18,1.00E+11,10,1.00E+14,20,1,0.934,3.176e-04,84.818,2.031e-04
0.18,1.00E+11,10,1.00E+14,30,0.05,0.727,4.596e-05,85.47,3.822e-05
0.18,1.00E+11,10,1.00E+14,30,1,0.883,3.272e-04,86.752,2.027e-04
0.18,1.00E+11,10,1.00E+14,40,0.05,0.697,4.573e-05,86.383,3.904e-05
0.18,1.00E+11,10,1.00E+14,40,1,0.839,3.389e-04,90.731,2.044e-04
0.18,1.00E+11,10,1.00E+15,10,0.05,0.751,7.000e-05,89.933,4.954e-05
0.18,1.00E+11,10,1.00E+15,10,1,0.922,3.692e-04,93.065,2.339e-04
0.18,1.00E+11,10,1.00E+15,15,0.05,0.734,6.988e-05,90.366,4.938e-05
0.18,1.00E+11,10,1.00E+15,15,1,0.897,3.747e-04,94.826,2.338e-04
0.18,1.00E+11,10,1.00E+15,20,0.05,0.716,7.018e-05,91.163,4.945e-05
0.18,1.00E+11,10,1.00E+15,20,1,0.871,3.810e-04,97.612,2.338e-04
0.18,1.00E+11,10,1.00E+15,30,0.05,0.643,7.576e-05,100.65,5.189e-05
0.18,1.00E+11,10,1.00E+15,30,1,0.759,4.143e-04,139.353,2.380e-04
0.18,1.00E+11,10,1.00E+15,40,0.05,0.487,7.608e-05,119.934,4.276e-05
0.18,1.00E+11,10,1.00E+15,40,1,0.625,4.572e-04,306.772,2.439e-04
0.18,1.00E+11,10,1.00E+16,10,0.05,0.711,8.516e-05,96.789,5.722e-05
0.18,1.00E+11,10,1.00E+16,10,1,0.835,4.061e-04,108.098,2.438e-04
0.18,1.00E+11,10,1.00E+16,15,0.05,0.694,8.382e-05,96.874,5.592e-05
0.18,1.00E+11,10,1.00E+16,15,1,0.817,4.082e-04,111.415,2.426e-04
0.18,1.00E+11,10,1.00E+16,20,0.05,0.67,8.587e-05,99.739,5.672e-05
0.18,1.00E+11,10,1.00E+16,20,1,0.781,4.189e-04,124.303,2.436e-04
0.18,1.00E+11,10,1.00E+16,30,0.05,0.468,1.187e-04,373.542,7.266e-05
0.18,1.00E+11,10,1.00E+16,30,1,0.121,6.242e-04,2585.098,2.623e-04
0.18,1.00E+11,10,1.00E+17,10,0.05,0.457,1.377e-04,337.814,8.315e-05
0.18,1.00E+11,10,1.00E+17,10,1,0.093,6.496e-04,2183.386,2.699e-04
0.18,1.00E+11,10,1.00E+17,15,0.05,0.224,1.754e-04,1349.228,9.486e-05
0.18,1.00E+11,10,1.00E+18,10,0.05,0.27,1.664e-04,1222.338,9.204e-05
0.18,1.00E+11,20,1.00E+14,10,0.05,0.801,4.553e-05,85.478,3.703e-05
0.18,1.00E+11,20,1.00E+14,10,1,0.999,2.954e-04,83.959,1.970e-04
0.18,1.00E+11,20,1.00E+14,15,0.05,0.778,4.631e-05,85.291,3.785e-05
0.18,1.00E+11,20,1.00E+14,15,1,0.964,3.075e-04,84.173,2.004e-04
0.18,1.00E+11,20,1.00E+14,20,0.05,0.758,4.662e-05,85.463,3.828e-05
0.18,1.00E+11,20,1.00E+14,20,1,0.933,3.174e-04,84.783,2.028e-04
0.18,1.00E+11,20,1.00E+14,30,0.05,0.727,4.601e-05,85.448,3.824e-05
0.18,1.00E+11,20,1.00E+14,30,1,0.882,3.269e-04,86.717,2.024e-04
0.18,1.00E+11,20,1.00E+14,40,0.05,0.696,4.575e-05,86.365,3.904e-05
0.18,1.00E+11,20,1.00E+14,40,1,0.838,3.387e-04,90.717,2.042e-04
0.18,1.00E+11,20,1.00E+15,10,0.05,0.751,7.003e-05,89.937,4.956e-05
0.18,1.00E+11,20,1.00E+15,10,1,0.921,3.692e-04,93.069,2.339e-04
0.18,1.00E+11,20,1.00E+15,15,0.05,0.733,6.991e-05,90.361,4.939e-05
0.18,1.00E+11,20,1.00E+15,15,1,0.897,3.748e-04,94.826,2.338e-04
0.18,1.00E+11,20,1.00E+15,20,0.05,0.716,7.020e-05,91.156,4.946e-05
0.18,1.00E+11,20,1.00E+15,20,1,0.87,3.811e-04,97.611,2.338e-04
0.18,1.00E+11,20,1.00E+15,30,0.05,0.643,7.577e-05,100.646,5.189e-05
0.18,1.00E+11,20,1.00E+15,30,1,0.76,4.143e-04,139.831,2.381e-04
0.18,1.00E+11,20,1.00E+15,40,0.05,0.487,7.607e-05,119.931,4.276e-05
0.18,1.00E+11,20,1.00E+15,40,1,0.625,4.572e-04,306.688,2.439e-04
0.18,1.00E+11,20,1.00E+16,10,0.05,0.711,8.516e-05,96.788,5.721e-05
0.18,1.00E+11,20,1.00E+16,10,1,0.835,4.061e-04,108.096,2.438e-04
0.18,1.00E+11,20,1.00E+16,15,0.05,0.694,8.382e-05,96.873,5.593e-05
0.18,1.00E+11,20,1.00E+16,15,1,0.817,4.082e-04,111.41,2.426e-04
0.18,1.00E+11,20,1.00E+16,20,0.05,0.67,8.587e-05,99.741,5.672e-05
0.18,1.00E+11,20,1.00E+16,20,1,0.781,4.189e-04,124.304,2.436e-04
0.18,1.00E+11,20,1.00E+16,30,0.05,0.468,1.186e-04,373.35,7.265e-05
0.18,1.00E+11,20,1.00E+16,30,1,0.121,6.241e-04,2583.584,2.623e-04
0.18,1.00E+11,20,1.00E+17,10,0.05,0.457,1.377e-04,337.623,8.315e-05
0.18,1.00E+11,20,1.00E+17,10,1,0.093,6.496e-04,2181.958,2.699e-04
0.18,1.00E+11,20,1.00E+17,15,0.05,0.224,1.754e-04,1349.17,9.486e-05
0.18,1.00E+11,20,1.00E+18,10,0.05,0.27,1.664e-04,1222.395,9.204e-05
0.18,1.00E+11,30,1.00E+14,10,0.05,0.801,4.552e-05,85.457,3.700e-05
0.18,1.00E+11,30,1.00E+14,10,1,0.998,2.952e-04,83.938,1.967e-04
0.18,1.00E+11,30,1.00E+14,15,0.05,0.776,4.631e-05,85.272,3.744e-05
0.18,1.00E+11,30,1.00E+14,15,1,0.963,3.073e-04,84.156,2.002e-04
0.18,1.00E+11,30,1.00E+14,20,0.05,0.758,4.661e-05,85.447,3.825e-05
0.18,1.00E+11,30,1.00E+14,20,1,0.933,3.173e-04,84.779,2.026e-04
0.18,1.00E+11,30,1.00E+14,30,0.05,0.726,4.600e-05,85.434,3.821e-05
0.18,1.00E+11,30,1.00E+14,30,1,0.881,3.267e-04,86.707,2.022e-04
0.18,1.00E+11,30,1.00E+14,40,0.05,0.696,4.574e-05,86.354,3.902e-05
0.18,1.00E+11,30,1.00E+14,40,1,0.837,3.386e-04,90.681,2.040e-04
0.18,1.00E+11,30,1.00E+15,10,0.05,0.75,7.004e-05,89.935,4.956e-05
0.18,1.00E+11,30,1.00E+15,10,1,0.921,3.693e-04,93.076,2.339e-04
0.18,1.00E+11,30,1.00E+15,15,0.05,0.733,6.992e-05,90.36,4.940e-05
0.18,1.00E+11,30,1.00E+15,15,1,0.897,3.748e-04,94.834,2.337e-04
0.18,1.00E+11,30,1.00E+15,20,0.05,0.716,7.021e-05,91.154,4.946e-05
0.18,1.00E+11,30,1.00E+15,20,1,0.87,3.811e-04,97.621,2.338e-04
0.18,1.00E+11,30,1.00E+15,30,0.05,0.643,7.577e-05,100.648,5.189e-05
0.18,1.00E+11,30,1.00E+15,30,1,0.76,4.144e-04,139.848,2.381e-04
0.18,1.00E+11,30,1.00E+15,40,0.05,0.487,7.607e-05,119.934,4.276e-05
0.18,1.00E+11,30,1.00E+15,40,1,0.625,4.572e-04,306.696,2.439e-04
0.18,1.00E+11,30,1.00E+16,10,0.05,0.711,8.517e-05,96.792,5.722e-05
0.18,1.00E+11,30,1.00E+16,10,1,0.835,4.061e-04,108.118,2.438e-04
0.18,1.00E+11,30,1.00E+16,15,0.05,0.694,8.383e-05,96.877,5.593e-05
0.18,1.00E+11,30,1.00E+16,15,1,0.817,4.082e-04,111.434,2.426e-04
0.18,1.00E+11,30,1.00E+16,20,0.05,0.67,8.587e-05,99.746,5.672e-05
0.18,1.00E+11,30,1.00E+16,20,1,0.781,4.189e-04,124.33,2.436e-04
0.18,1.00E+11,30,1.00E+16,30,0.05,0.468,1.186e-04,373.253,7.265e-05
0.18,1.00E+11,30,1.00E+16,30,1,0.121,6.241e-04,2582.829,2.623e-04
0.18,1.00E+11,30,1.00E+17,10,0.05,0.457,1.377e-04,337.581,8.315e-05
0.18,1.00E+11,30,1.00E+17,10,1,0.093,6.496e-04,2181.674,2.699e-04
0.18,1.00E+11,30,1.00E+17,15,0.05,0.224,1.754e-04,1349.238,9.486e-05
0.18,1.00E+11,30,1.00E+18,10,0.05,0.27,1.664e-04,1222.53,9.204e-05
0.18,1.00E+11,50,1.00E+14,10,0.05,0.801,4.549e-05,85.434,3.694e-05
0.18,1.00E+11,50,1.00E+14,10,1,0.997,2.950e-04,83.916,1.965e-04
0.18,1.00E+11,50,1.00E+14,15,0.05,0.777,4.628e-05,85.23,3.778e-05
0.18,1.00E+11,50,1.00E+14,15,1,0.963,3.071e-04,84.135,2.000e-04
0.18,1.00E+11,50,1.00E+14,20,0.05,0.757,4.659e-05,85.427,3.821e-05
0.18,1.00E+11,50,1.00E+14,20,1,0.932,3.171e-04,84.769,2.024e-04
0.18,1.00E+11,50,1.00E+14,30,0.05,0.726,4.597e-05,85.418,3.818e-05
0.18,1.00E+11,50,1.00E+14,30,1,0.881,3.265e-04,86.719,2.020e-04
0.18,1.00E+11,50,1.00E+14,40,0.05,0.696,4.571e-05,86.341,3.899e-05
0.18,1.00E+11,50,1.00E+14,40,1,0.837,3.384e-04,90.748,2.039e-04
0.18,1.00E+11,50,1.00E+15,10,0.05,0.75,7.006e-05,89.932,4.956e-05
0.18,1.00E+11,50,1.00E+15,10,1,0.92,3.694e-04,93.092,2.339e-04
0.18,1.00E+11,50,1.00E+15,15,0.05,0.733,6.993e-05,90.36,4.940e-05
0.18,1.00E+11,50,1.00E+15,15,1,0.896,3.749e-04,94.856,2.337e-04
0.18,1.00E+11,50,1.00E+15,20,0.05,0.716,7.022e-05,91.156,4.946e-05
0.18,1.00E+11,50,1.00E+15,20,1,0.87,3.812e-04,97.65,2.338e-04
0.18,1.00E+11,50,1.00E+15,30,0.05,0.643,7.577e-05,100.666,5.189e-05
0.18,1.00E+11,50,1.00E+15,30,1,0.76,4.144e-04,139.977,2.381e-04
0.18,1.00E+11,50,1.00E+15,40,0.05,0.486,7.607e-05,119.966,4.276e-05
0.18,1.00E+11,50,1.00E+15,40,1,0.625,4.572e-04,307.043,2.439e-04
0.18,1.00E+11,50,1.00E+16,10,0.05,0.711,8.518e-05,96.798,5.722e-05
0.18,1.00E+11,50,1.00E+16,10,1,0.834,4.062e-04,108.156,2.438e-04
0.18,1.00E+11,50,1.00E+16,15,0.05,0.694,8.384e-05,96.889,5.593e-05
0.18,1.00E+11,50,1.00E+16,15,1,0.817,4.083e-04,111.503,2.426e-04
0.18,1.00E+11,50,1.00E+16,20,0.05,0.67,8.589e-05,99.762,5.673e-05
0.18,1.00E+11,50,1.00E+16,20,1,0.78,4.190e-04,124.426,2.436e-04
0.18,1.00E+11,50,1.00E+16,30,0.05,0.468,1.186e-04,373.199,7.265e-05
0.18,1.00E+11,50,1.00E+16,30,1,0.121,6.241e-04,2582.489,2.623e-04
0.18,1.00E+11,50,1.00E+17,10,0.05,0.457,1.377e-04,337.625,8.315e-05
0.18,1.00E+11,50,1.00E+17,10,1,0.093,6.496e-04,2182.172,2.699e-04
0.18,1.00E+11,50,1.00E+17,15,0.05,0.224,1.754e-04,1349.515,9.486e-05
0.18,1.00E+11,50,1.00E+18,10,0.05,0.27,1.664e-04,1222.88,9.204e-05
0.18,1.00E+11,70,1.00E+14,10,0.05,0.8,4.546e-05,85.423,3.690e-05
0.18,1.00E+11,70,1.00E+14,10,1,0.997,2.948e-04,83.907,1.964e-04
0.18,1.00E+11,70,1.00E+14,15,0.05,0.777,4.626e-05,85.21,3.774e-05
0.18,1.00E+11,70,1.00E+14,15,1,0.962,3.070e-04,84.124,1.999e-04
0.18,1.00E+11,70,1.00E+14,20,0.05,0.757,4.657e-05,85.416,3.818e-05
0.18,1.00E+11,70,1.00E+14,20,1,0.932,3.170e-04,84.767,2.023e-04
0.18,1.00E+11,70,1.00E+14,30,0.05,0.726,4.595e-05,85.41,3.814e-05
0.18,1.00E+11,70,1.00E+14,30,1,0.881,3.264e-04,86.719,2.019e-04
0.18,1.00E+11,70,1.00E+14,40,0.05,0.696,4.569e-05,86.335,3.895e-05
0.18,1.00E+11,70,1.00E+14,40,1,0.837,3.383e-04,90.756,2.038e-04
0.18,1.00E+11,70,1.00E+15,10,0.05,0.75,7.006e-05,89.931,4.955e-05
0.18,1.00E+11,70,1.00E+15,10,1,0.92,3.695e-04,93.105,2.339e-04
0.18,1.00E+11,70,1.00E+15,15,0.05,0.733,6.994e-05,90.361,4.939e-05
0.18,1.00E+11,70,1.00E+15,15,1,0.896,3.750e-04,94.897,2.337e-04
0.18,1.00E+11,70,1.00E+15,20,0.05,0.716,7.023e-05,91.16,4.945e-05
0.18,1.00E+11,70,1.00E+15,20,1,0.869,3.812e-04,97.677,2.338e-04
0.18,1.00E+11,70,1.00E+15,30,0.05,0.643,7.578e-05,100.687,5.189e-05
0.18,1.00E+11,70,1.00E+15,30,1,0.759,4.144e-04,140.122,2.381e-04
0.18,1.00E+11,70,1.00E+15,40,0.05,0.486,7.607e-05,120.008,4.275e-05
0.18,1.00E+11,70,1.00E+15,40,1,0.625,4.573e-04,307.55,2.439e-04
0.18,1.00E+11,70,1.00E+16,10,0.05,0.711,8.520e-05,96.812,5.722e-05
0.18,1.00E+11,70,1.00E+16,10,1,0.834,4.063e-04,108.211,2.439e-04
0.18,1.00E+11,70,1.00E+16,15,0.05,0.694,8.386e-05,96.903,5.593e-05
0.18,1.00E+11,70,1.00E+16,15,1,0.817,4.084e-04,111.569,2.426e-04
0.18,1.00E+11,70,1.00E+16,20,0.05,0.669,8.590e-05,99.784,5.673e-05
0.18,1.00E+11,70,1.00E+16,20,1,0.78,4.191e-04,124.536,2.437e-04
